"","customerID","tenure","PhoneService","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","gender","SeniorCitizen","Partner","Dependents","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies"
"18","9959-WOFKT",71,"Yes","Two year","No","Bank transfer (automatic)",106.7,7382.25,"No","Male",0,"No","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes"
"19","4190-MFLUW",10,"Yes","Month-to-month","No","Credit card (automatic)",55.2,528.35,"Yes","Female",0,"Yes","Yes","No","DSL","No","No","Yes","Yes","No","No"
"20","4183-MYFRB",21,"Yes","Month-to-month","Yes","Electronic check",90.05,1862.9,"No","Female",0,"No","No","No","Fiber optic","No","Yes","Yes","No","No","Yes"
"21","8779-QRDMV",1,"No","Month-to-month","Yes","Electronic check",39.65,39.65,"Yes","Male",1,"No","No","No phone service","DSL","No","No","Yes","No","No","Yes"
"22","1680-VDCWW",12,"Yes","One year","No","Bank transfer (automatic)",19.8,202.25,"No","Male",0,"Yes","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"23","1066-JKSGK",1,"Yes","Month-to-month","No","Mailed check",20.15,20.15,"Yes","Male",0,"No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"24","3638-WEABW",58,"Yes","Two year","Yes","Credit card (automatic)",59.9,3505.1,"No","Female",0,"Yes","No","Yes","DSL","No","Yes","No","Yes","No","No"
"25","6322-HRPFA",49,"Yes","Month-to-month","No","Credit card (automatic)",59.6,2970.3,"No","Male",0,"Yes","Yes","No","DSL","Yes","Yes","No","Yes","No","No"
"26","6865-JZNKO",30,"Yes","Month-to-month","Yes","Bank transfer (automatic)",55.3,1530.6,"No","Female",0,"No","No","No","DSL","Yes","Yes","No","No","No","No"
"27","6467-CHFZW",47,"Yes","Month-to-month","Yes","Electronic check",99.35,4749.15,"Yes","Male",0,"Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"28","8665-UTDHZ",1,"No","Month-to-month","No","Electronic check",30.2,30.2,"Yes","Male",0,"Yes","Yes","No phone service","DSL","No","Yes","No","No","No","No"
"29","5248-YGIJN",72,"Yes","Two year","Yes","Credit card (automatic)",90.25,6369.45,"No","Male",0,"Yes","No","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes"
"30","8773-HHUOZ",17,"Yes","Month-to-month","Yes","Mailed check",64.7,1093.1,"Yes","Female",0,"No","Yes","No","DSL","No","No","No","No","Yes","Yes"
"31","3841-NFECX",71,"Yes","Two year","Yes","Credit card (automatic)",96.35,6766.95,"No","Female",1,"Yes","No","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No"
"32","4929-XIHVW",2,"Yes","Month-to-month","Yes","Credit card (automatic)",95.5,181.65,"No","Male",1,"Yes","No","No","Fiber optic","No","No","Yes","No","Yes","Yes"
"33","6827-IEAUQ",27,"Yes","One year","No","Mailed check",66.15,1874.45,"No","Female",0,"Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","No"
"34","7310-EGVHZ",1,"Yes","Month-to-month","No","Bank transfer (automatic)",20.2,20.2,"No","Male",0,"No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"35","3413-BMNZE",1,"Yes","Month-to-month","No","Bank transfer (automatic)",45.25,45.25,"No","Male",1,"No","No","No","DSL","No","No","No","No","No","No"
"36","6234-RAAPL",72,"Yes","Two year","No","Bank transfer (automatic)",99.9,7251.7,"No","Female",0,"Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No"
"37","6047-YHPVI",5,"Yes","Month-to-month","Yes","Electronic check",69.7,316.9,"Yes","Male",0,"No","No","No","Fiber optic","No","No","No","No","No","No"
"38","6572-ADKRS",46,"Yes","Month-to-month","Yes","Credit card (automatic)",74.8,3548.3,"No","Female",0,"No","No","No","Fiber optic","No","No","Yes","No","No","No"
"39","5380-WJKOV",34,"Yes","Month-to-month","Yes","Electronic check",106.35,3549.25,"Yes","Male",0,"No","No","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"40","8168-UQWWF",11,"Yes","Month-to-month","Yes","Bank transfer (automatic)",97.85,1105.4,"Yes","Female",0,"No","No","Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"41","8865-TNMNX",10,"Yes","One year","No","Mailed check",49.55,475.7,"No","Male",0,"Yes","Yes","No","DSL","No","Yes","No","No","No","No"
"42","9489-DEDVP",70,"Yes","Two year","Yes","Credit card (automatic)",69.2,4872.35,"No","Female",0,"Yes","Yes","Yes","DSL","Yes","Yes","No","No","Yes","No"
"43","9867-JCZSP",17,"Yes","One year","No","Mailed check",20.75,418.25,"No","Female",0,"Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"44","4671-VJLCL",63,"Yes","Two year","Yes","Credit card (automatic)",79.85,4861.45,"No","Female",0,"No","No","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No"
"45","4080-IIARD",13,"Yes","Month-to-month","Yes","Electronic check",76.2,981.45,"No","Female",0,"Yes","No","Yes","DSL","Yes","Yes","No","Yes","Yes","No"
"46","3714-NTNFO",49,"Yes","Month-to-month","Yes","Electronic check",84.5,3906.7,"No","Female",0,"No","No","Yes","Fiber optic","No","No","No","No","No","Yes"
"47","5948-UJZLF",2,"Yes","Month-to-month","No","Mailed check",49.25,97,"No","Male",0,"No","No","No","DSL","No","Yes","No","No","No","No"
"48","7760-OYPDY",2,"Yes","Month-to-month","Yes","Electronic check",80.65,144.15,"Yes","Female",0,"No","No","No","Fiber optic","No","No","No","No","Yes","No"
"49","7639-LIAYI",52,"Yes","Two year","Yes","Credit card (automatic)",79.75,4217.8,"No","Male",0,"No","No","Yes","DSL","Yes","No","No","Yes","Yes","Yes"
"50","2954-PIBKO",69,"Yes","Two year","Yes","Credit card (automatic)",64.15,4254.1,"No","Female",0,"Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","No","No"
"51","8012-SOUDQ",43,"Yes","Month-to-month","Yes","Electronic check",90.25,3838.75,"No","Female",1,"No","No","Yes","Fiber optic","No","Yes","No","No","Yes","No"
"52","9420-LOJKX",15,"Yes","Month-to-month","Yes","Credit card (automatic)",99.1,1426.4,"Yes","Female",0,"No","No","No","Fiber optic","Yes","Yes","No","No","Yes","Yes"
"53","6575-SUVOI",25,"Yes","Month-to-month","Yes","Credit card (automatic)",69.5,1752.65,"No","Female",1,"Yes","No","Yes","DSL","Yes","No","No","Yes","Yes","No"
"54","7495-OOKFY",8,"Yes","Month-to-month","Yes","Credit card (automatic)",80.65,633.3,"Yes","Female",1,"Yes","No","Yes","Fiber optic","No","Yes","No","No","No","No"
"55","4667-QONEA",60,"Yes","One year","Yes","Credit card (automatic)",74.85,4456.35,"No","Female",1,"Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes"
"56","1658-BYGOY",18,"Yes","Month-to-month","Yes","Electronic check",95.45,1752.55,"Yes","Male",1,"No","No","Yes","Fiber optic","No","No","No","No","Yes","Yes"
"57","8769-KKTPH",63,"Yes","One year","Yes","Credit card (automatic)",99.65,6311.2,"No","Female",0,"Yes","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
"58","5067-XJQFU",66,"Yes","One year","Yes","Electronic check",108.45,7076.35,"No","Male",1,"Yes","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"59","3957-SQXML",34,"Yes","Two year","No","Credit card (automatic)",24.95,894.3,"No","Female",0,"Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"60","5954-BDFSG",72,"Yes","Two year","Yes","Credit card (automatic)",107.5,7853.7,"No","Female",0,"No","No","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"61","0434-CSFON",47,"Yes","Month-to-month","Yes","Electronic check",100.5,4707.1,"No","Female",0,"Yes","No","Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"62","1215-FIGMP",60,"Yes","Month-to-month","Yes","Bank transfer (automatic)",89.9,5450.7,"No","Male",0,"No","No","Yes","Fiber optic","No","Yes","No","No","Yes","No"
"63","0526-SXDJP",72,"No","Two year","No","Bank transfer (automatic)",42.1,2962,"No","Male",0,"Yes","No","No phone service","DSL","Yes","Yes","Yes","No","No","No"
"64","0557-ASKVU",18,"Yes","One year","Yes","Credit card (automatic)",54.4,957.1,"No","Female",0,"Yes","Yes","No","DSL","No","No","Yes","Yes","No","No"
"65","5698-BQJOH",9,"Yes","Month-to-month","No","Electronic check",94.4,857.25,"Yes","Female",0,"No","No","Yes","Fiber optic","No","No","No","No","Yes","Yes"
"66","5122-CYFXA",3,"Yes","Month-to-month","Yes","Electronic check",75.3,244.1,"No","Female",0,"No","No","No","DSL","No","Yes","No","Yes","Yes","Yes"
"67","8627-ZYGSZ",47,"Yes","One year","Yes","Electronic check",78.9,3650.35,"No","Male",0,"Yes","No","Yes","Fiber optic","No","Yes","No","No","No","No"
"68","3410-YOQBQ",31,"Yes","Two year","No","Mailed check",79.2,2497.2,"No","Female",0,"No","No","No","DSL","No","Yes","Yes","Yes","Yes","Yes"
"69","3170-NMYVV",50,"Yes","Two year","No","Bank transfer (automatic)",20.15,930.9,"No","Female",0,"Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"70","7410-OIEDU",10,"Yes","Month-to-month","Yes","Mailed check",79.85,887.35,"No","Male",0,"No","No","No","Fiber optic","Yes","No","Yes","No","No","No"
"71","2273-QCKXA",1,"Yes","Month-to-month","No","Mailed check",49.05,49.05,"No","Male",0,"No","No","No","DSL","No","No","No","Yes","No","No"
"72","0731-EBJQB",52,"Yes","One year","Yes","Electronic check",20.4,1090.65,"No","Female",0,"Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"73","1891-QRQSA",64,"Yes","Two year","Yes","Bank transfer (automatic)",111.6,7099,"No","Male",1,"Yes","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
"74","8028-PNXHQ",62,"Yes","Two year","Yes","Bank transfer (automatic)",24.25,1424.6,"No","Male",0,"Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"75","5630-AHZIL",3,"Yes","Month-to-month","Yes","Bank transfer (automatic)",64.5,177.4,"No","Female",0,"No","Yes","No","DSL","Yes","No","No","Yes","No","Yes"
"76","2673-CXQEU",56,"Yes","One year","No","Electronic check",110.5,6139.5,"No","Female",1,"No","No","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
"77","6416-JNVRK",46,"Yes","One year","No","Credit card (automatic)",55.65,2688.85,"No","Female",0,"No","No","No","DSL","No","No","No","No","No","Yes"
"78","5590-ZSKRV",8,"Yes","Month-to-month","No","Mailed check",54.65,482.25,"No","Female",0,"Yes","Yes","No","DSL","Yes","Yes","No","No","No","No"
"79","0191-ZHSKZ",30,"Yes","Month-to-month","Yes","Electronic check",74.75,2111.3,"No","Male",1,"No","No","No","DSL","Yes","Yes","No","No","Yes","Yes"
"80","3887-PBQAO",45,"Yes","One year","Yes","Credit card (automatic)",25.9,1216.6,"No","Female",0,"Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"81","5919-TMRGD",1,"Yes","Month-to-month","Yes","Electronic check",79.35,79.35,"Yes","Female",0,"No","Yes","No","Fiber optic","No","No","No","No","Yes","No"
"82","8108-UXRQN",11,"No","Month-to-month","No","Electronic check",50.55,565.35,"No","Female",0,"Yes","Yes","No phone service","DSL","Yes","No","No","No","Yes","Yes"
"83","9191-MYQKX",7,"Yes","Month-to-month","Yes","Bank transfer (automatic)",75.15,496.9,"Yes","Female",0,"Yes","No","No","Fiber optic","No","No","Yes","No","No","No"
"84","9919-YLNNG",42,"Yes","Month-to-month","Yes","Bank transfer (automatic)",103.8,4327.5,"No","Female",0,"No","No","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"85","0318-ZOPWS",49,"Yes","Two year","Yes","Bank transfer (automatic)",20.15,973.35,"No","Female",0,"Yes","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"86","4445-ZJNMU",9,"Yes","Month-to-month","Yes","Credit card (automatic)",99.3,918.75,"No","Male",0,"No","No","Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"87","4808-YNLEU",35,"Yes","One year","Yes","Bank transfer (automatic)",62.15,2215.45,"No","Female",0,"Yes","No","No","DSL","Yes","No","No","No","Yes","No"
"88","1862-QRWPE",48,"Yes","Two year","No","Bank transfer (automatic)",20.65,1057,"No","Female",0,"Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"89","2796-NNUFI",46,"Yes","Two year","Yes","Mailed check",19.95,927.1,"No","Female",0,"Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"90","3016-KSVCP",29,"No","Month-to-month","No","Mailed check",33.75,1009.25,"No","Male",0,"Yes","No","No phone service","DSL","No","No","No","No","Yes","No"
"91","4767-HZZHQ",30,"Yes","Month-to-month","No","Bank transfer (automatic)",82.05,2570.2,"No","Male",0,"Yes","Yes","No","Fiber optic","No","Yes","Yes","No","No","No"
"92","2424-WVHPL",1,"Yes","Month-to-month","No","Electronic check",74.7,74.7,"No","Male",1,"No","No","No","Fiber optic","No","No","No","Yes","No","No"
"93","7233-PAHHL",66,"Yes","Two year","Yes","Mailed check",84,5714.25,"No","Male",0,"Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes"
"94","6067-NGCEU",65,"Yes","Month-to-month","Yes","Credit card (automatic)",111.05,7107,"No","Female",0,"No","No","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
"95","9848-JQJTX",72,"Yes","Two year","Yes","Bank transfer (automatic)",100.9,7459.05,"No","Male",0,"No","No","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"96","8637-XJIVR",12,"Yes","Month-to-month","Yes","Electronic check",78.95,927.35,"Yes","Female",0,"No","No","Yes","Fiber optic","Yes","No","No","No","No","No"
"97","9803-FTJCG",71,"Yes","One year","Yes","Credit card (automatic)",66.85,4748.7,"No","Male",0,"Yes","Yes","Yes","DSL","Yes","Yes","No","Yes","No","No"
"98","0278-YXOOG",5,"Yes","Month-to-month","No","Mailed check",21.05,113.85,"Yes","Male",0,"No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"99","3212-KXOCR",52,"Yes","Two year","No","Bank transfer (automatic)",21,1107.2,"No","Male",0,"No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"100","4598-XLKNJ",25,"Yes","Month-to-month","Yes","Electronic check",98.5,2514.5,"Yes","Female",1,"Yes","No","No","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"101","6380-ARCEH",1,"Yes","Month-to-month","No","Mailed check",20.2,20.2,"No","Male",0,"No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"102","3679-XASPY",1,"Yes","Month-to-month","No","Electronic check",19.45,19.45,"No","Female",0,"Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"103","7123-WQUHX",38,"Yes","One year","No","Bank transfer (automatic)",95,3605.6,"No","Male",0,"No","No","Yes","Fiber optic","No","No","Yes","Yes","Yes","No"
"104","5386-THSLQ",66,"No","One year","No","Bank transfer (automatic)",45.55,3027.25,"No","Female",1,"Yes","No","No phone service","DSL","No","Yes","Yes","No","Yes","No"
"105","3192-NQECA",68,"Yes","Two year","Yes","Bank transfer (automatic)",110,7611.85,"Yes","Male",0,"Yes","No","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"106","6180-YBIQI",5,"No","Month-to-month","No","Mailed check",24.3,100.2,"No","Male",0,"No","No","No phone service","DSL","No","No","No","No","No","No"
"107","6728-DKUCO",72,"Yes","One year","Yes","Electronic check",104.15,7303.05,"No","Female",0,"Yes","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes"
"108","9750-BOOHV",32,"No","One year","No","Mailed check",30.15,927.65,"No","Female",0,"No","No","No phone service","DSL","Yes","No","No","No","No","No"
"109","8597-CWYHH",43,"Yes","One year","No","Mailed check",94.35,3921.3,"No","Male",0,"No","No","Yes","Fiber optic","No","No","No","No","Yes","Yes"
"110","2848-YXSMW",72,"Yes","Two year","No","Credit card (automatic)",19.4,1363.25,"No","Male",0,"Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"111","0486-HECZI",55,"Yes","Month-to-month","Yes","Electronic check",96.75,5238.9,"Yes","Male",0,"Yes","No","Yes","Fiber optic","Yes","Yes","No","No","Yes","No"
"112","4549-ZDQYY",52,"Yes","One year","No","Credit card (automatic)",57.95,3042.25,"No","Female",0,"No","No","No","DSL","Yes","No","Yes","Yes","No","No"
"113","5712-AHQNN",43,"Yes","Month-to-month","Yes","Electronic check",91.65,3954.1,"No","Female",0,"No","No","No","Fiber optic","No","Yes","Yes","No","Yes","No"
"114","4846-WHAFZ",37,"Yes","Month-to-month","Yes","Electronic check",76.5,2868.15,"Yes","Female",1,"Yes","No","Yes","Fiber optic","No","No","No","No","No","No"
"115","5256-SKJGO",64,"No","Two year","Yes","Electronic check",54.6,3423.5,"No","Female",0,"Yes","Yes","No phone service","DSL","No","Yes","No","Yes","Yes","Yes"
"116","3071-VBYPO",3,"Yes","Month-to-month","No","Electronic check",89.85,248.4,"No","Male",0,"Yes","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No"
"117","9560-BBZXK",36,"No","Two year","No","Bank transfer (automatic)",31.05,1126.35,"No","Female",0,"No","No","No phone service","DSL","Yes","No","No","No","No","No"
"118","5299-RULOA",10,"Yes","Month-to-month","Yes","Electronic check",100.25,1064.65,"Yes","Female",0,"Yes","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
"119","8402-OOOHJ",41,"Yes","Two year","No","Mailed check",20.65,835.15,"No","Female",0,"No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"120","9445-ZUEQE",27,"Yes","Month-to-month","Yes","Credit card (automatic)",85.2,2151.6,"No","Male",0,"Yes","Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No"
"121","1091-SOZGA",56,"Yes","One year","Yes","Credit card (automatic)",99.8,5515.45,"No","Female",0,"Yes","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"122","2928-HLDBA",6,"Yes","Month-to-month","No","Mailed check",20.7,112.75,"No","Female",0,"No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"123","0404-SWRVG",3,"Yes","Month-to-month","Yes","Electronic check",74.4,229.55,"Yes","Male",0,"No","No","Yes","Fiber optic","No","No","No","No","No","No"
"124","6497-TILVL",7,"Yes","Month-to-month","No","Mailed check",50.7,350.35,"No","Female",0,"Yes","Yes","No","DSL","Yes","No","No","No","No","No"
"125","7219-TLZHO",4,"Yes","Month-to-month","No","Mailed check",20.85,62.9,"No","Female",0,"Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"126","4622-YNKIJ",33,"Yes","Two year","Yes","Electronic check",88.95,3027.65,"No","Male",0,"No","No","No","Fiber optic","Yes","No","No","Yes","Yes","No"
"127","4412-YLTKF",27,"Yes","Month-to-month","Yes","Electronic check",78.05,2135.5,"Yes","Female",1,"No","No","Yes","Fiber optic","No","No","Yes","No","No","No"
"128","6734-PSBAW",72,"Yes","Two year","Yes","Bank transfer (automatic)",23.55,1723.95,"No","Male",0,"Yes","No","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"129","3930-ZGWVE",1,"Yes","Month-to-month","No","Mailed check",19.75,19.75,"No","Male",0,"No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"130","2639-UGMAZ",71,"No","One year","Yes","Electronic check",56.45,3985.35,"No","Male",1,"No","No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes"
"131","2876-GZYZC",13,"Yes","Month-to-month","Yes","Electronic check",85.95,1215.65,"No","Female",0,"No","No","Yes","Fiber optic","No","No","No","No","No","Yes"
"132","6207-WIOLX",25,"No","Month-to-month","Yes","Credit card (automatic)",58.6,1502.65,"Yes","Female",0,"Yes","Yes","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes"
"133","8587-XYZSF",67,"Yes","Two year","No","Bank transfer (automatic)",50.55,3260.1,"No","Male",0,"No","No","No","DSL","No","No","No","Yes","No","No"
"134","3091-FYHKI",1,"No","Month-to-month","Yes","Electronic check",35.45,35.45,"Yes","Male",0,"No","No","No phone service","DSL","No","No","No","No","No","Yes"
"135","2372-HWUHI",2,"Yes","Month-to-month","No","Electronic check",44.35,81.25,"Yes","Male",0,"No","No","No","DSL","No","No","No","No","No","No"
"136","7799-LGRDP",43,"Yes","Two year","Yes","Credit card (automatic)",25.7,1188.2,"No","Female",0,"No","No","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"137","7850-VWJUU",23,"Yes","Month-to-month","Yes","Bank transfer (automatic)",75,1778.5,"No","Female",0,"No","No","No","Fiber optic","Yes","No","No","No","No","No"
"138","3774-VBNXY",64,"Yes","Two year","No","Mailed check",20.2,1277.75,"No","Female",0,"Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"139","6217-KDYWC",57,"Yes","Two year","Yes","Mailed check",19.6,1170.55,"No","Male",0,"No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"140","0390-DCFDQ",1,"Yes","Month-to-month","Yes","Mailed check",70.45,70.45,"Yes","Female",1,"Yes","No","No","Fiber optic","No","No","No","No","No","No"
"141","3146-MSEGF",72,"Yes","Two year","Yes","Credit card (automatic)",88.05,6425.65,"No","Female",1,"Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes"
"142","4080-OGPJL",8,"Yes","Month-to-month","No","Electronic check",71.15,563.65,"Yes","Female",0,"No","No","Yes","DSL","Yes","No","No","Yes","No","Yes"
"143","1095-WGNGG",61,"Yes","Two year","Yes","Bank transfer (automatic)",101.05,5971.25,"No","Female",0,"Yes","No","Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"144","2636-SJDOU",64,"Yes","One year","Yes","Credit card (automatic)",84.3,5289.05,"No","Male",0,"No","No","Yes","Fiber optic","Yes","Yes","No","No","No","No"
"145","1131-QQZEB",71,"Yes","Two year","No","Bank transfer (automatic)",23.95,1756.2,"No","Male",1,"Yes","No","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"146","5716-EZXZN",65,"Yes","Two year","Yes","Credit card (automatic)",99.05,6416.7,"No","Female",0,"Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No"
"147","6837-BJYDQ",3,"Yes","One year","No","Mailed check",19.6,61.35,"No","Male",0,"No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"148","2135-RXIHG",1,"Yes","Month-to-month","Yes","Electronic check",45.65,45.65,"Yes","Male",0,"No","No","No","DSL","No","No","No","No","No","No"
"149","6440-DKQGE",30,"Yes","One year","No","Credit card (automatic)",64.5,1929.95,"No","Male",0,"No","Yes","No","DSL","No","Yes","Yes","No","Yes","No"
"150","3466-BYAVD",15,"Yes","Month-to-month","Yes","Mailed check",69.5,1071.4,"No","Male",0,"Yes","Yes","No","DSL","No","Yes","Yes","Yes","No","Yes"
"151","3780-YVMFA",8,"Yes","Month-to-month","Yes","Electronic check",68.55,564.35,"No","Female",0,"Yes","Yes","No","DSL","No","No","No","Yes","Yes","Yes"
"152","3874-EQOEP",7,"Yes","Month-to-month","No","Mailed check",95,655.5,"Yes","Male",0,"No","No","Yes","Fiber optic","No","No","No","No","Yes","Yes"
"153","1679-JRFBR",70,"Yes","One year","Yes","Credit card (automatic)",108.15,7930.55,"No","Female",0,"Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
"154","9073-ZZIAY",62,"Yes","Two year","No","Electronic check",86.1,5215.25,"No","Male",0,"Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes"
"155","3077-RSNTJ",6,"Yes","Month-to-month","No","Mailed check",19.7,113.5,"No","Female",0,"Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
